business_name,displayName,primaryType,review_1,review_2,review_3,review_4,review_5
"19, RUE DE BI~ALIEXPRESS.COM",Aliexpress pickup,MISSING,disrespectful - never use aliexpress,"To collect my package, I received a single 8-digit code (2 sets of 4) except the storage cabinet only requires 6!
The support phone number on the device leads to an English-speaking machine that appears to have nothing to do with the subject...
It didn't look good to collect my package!
After a lot of research, I learned that I had to try it by entering only the first 3 and last 3 digits of the code received by SMS and as incredible as it was, it worked.
Good to know if this mishap happens to others besides me!",MISSING,MISSING,MISSING
408-724-9160 ~NETFLIX.COM,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
77 TO סופרמרקט,City Market,supermarket,Bigger than expected. Lovely vibe at 04:00 in the morning.,"Open 24/7 with a large selection of goods, from vegetables to cleaning supplies.",always taking care of the prices... 24/7 ...what else could you want/need,Love the shop good viraitis not the chipest bud good prodacts,Good variety but more expensive than regular
AMSTERDAM    ~NETFLIX.COM,Netflix Amsterdam,MISSING,"Please lower the volume of intros

So many of your series have this issue where the volume is high in the intro and the special effects, so loud.
Then, the volume of the voices in conversations is so lower in comparison. Balance please!",Increasing prices but cancelling the option to download content on laptops (mac and win). Netflix just forced me to end the subscription,"After 1 month using the service and second pay, someone changed my registered email address. The operator on chat as well as on phone asked me as the only possible identification leading into changing the email address back to my one is to write whole credit card number into a chat. They are not serios. I closed the account, never more Netflix","This streaming platform has outpriced itself, HBO Max, Amazon Prime, Disney and Apple are better value. CYA!",Hello. Am so disappointed in your app cause my money has been deducted for months now and I’ve tried all my possible best to deactivate which stopped for something and am surprised am being charged again for what I didn’t use for months. Kindly refund my money now before I started reporting your app.
BITהעברה ב,ביו קרדיט - BioCredit - ייעוץ ותיקון נתוני אשראי,consultant,"An unreliable company, they promise to correct negative data, in fact they delete the entire rating and then you have no rating and start over
What's more, to delete the rating you don't need them, you can do it with a simple application to a credit rating system, not recommended
After they are paid, the treatment is disgraceful and belittling
More trouble than help
Do not contact them at all
One big lie","They got back to me regarding the correction of the credit rating in the conversation I was told that they delete only the negative data, they confused me that they correct only a specific figure that is in the report, from there after the conversation and that I closed with them and paid I started to find out and saw that there is no such thing as deleting negative data, they delete everything! I spoke to them several times afterwards and they still insisted that it was a spot-on imitation! After a few calls a nice girl spoke to me (which is rare there) and told me the truth that they just delete all the history. Finally I canceled the deal (at least that's what I thought) and I was promised a refund of 75% of the amount! Nothing has been canceled and the payment continues to drop! Be careful, pay attention before you sign with them, there are professional salespeople who know how to engrave beautifully! A company of deceitful robbers God will pay one by one there, everyone who lends a hand in the stings of hard-working people who are in need.","A company of crooks
They do not provide service after they charge you money
And for what? about nothing
They delete everything!! Good things too
It's eye work!!","I advise you not to contact this company!

They claimed that they would delete all of my negative data, what they did was simply delete my entire financial history, now no body will approve anything for me, and Visacard canceled my credit card as a result.

What they did to me I could do myself in a minute, which also does more harm than good.

Note that even the positive comments here are fabricated!","Not recommended!! They stung me in 2000 bushes and they did nothing
And listed in their contract! The payment is based on success, if you are not successful, you get your money back
Unfortunately nothing was returned"
CAFE MAYER,Café Mayer,restaurant,"We had a great experience at Café Mayer in Tel Aviv. The location is central, close to Dizengoff square. The seating was comfortable and not too crowded for a breakfast. The food was delicious and they had vegetarian options which was great. The coffee was also very good. The service was decent and the price was reasonable.
would definitely recommend this place","We stopped by here for a dessert and we enjoyed it fully. On the menu you can order “Something sweet”. As usual we got 2 different options to be able to share and we were very satisfied.

Our selections were - Chocolate fudge with vanilla ice cream and Lemon and Pistachio Pie. The pie was a layered and a very appetizing option. The fudge was hot. Both portions were big enough for two people to share.

The cafe has many tables outside and inside. We decided to take a small table inside by the door. That give us an option of enjoying the light night breeze as well.

The cafe has many options of red and white wines and intriguing salads, shrimp gnocchi and schnitzel and many other appealing options on the menu.

We will definitely try this place again for a meal date, not just dessert.","Amazing service!!
Amazing food!
We started out ordering a bottle of wine , and after that we ordered (with help from the amazing wonderful waiter) amazing dishes. The waiter, Omri, was a part of out outing, always making sure we were happy, gave us shots on the house and then at the end of the evening we ordered a dessert, and because we weren’t 100% happy with the order, gave us another dessert on the house. We had such a wonderful time, we got the Happy Hour discount and some wonderful on the house additions.
The service was so nice , fun, and chill.
We will definitely come back.","This was the first time we ate in Mayer Cafe, and we had a very nice dinner.
The gnocchi was delicious as was the bread.
The service was friendly but a little slow (despite the fact you have little buzzers to call for service).
Location is also great - right next to dizengoff square.","Decent food, good atmosphere. Ordered a cheeseburger which came without cheese, luckily our waitress Tal was excellent and returned it promptly after 2 minutes with cheese. Service is 5 stars because of her, other waiters ignored us when trying to order the check but from inside she saw us struggling and took care of it. Glad she was there as the experience would have been fairly negative if not."
CAFFE CUCU,Café CUCU,restaurant,"Their breakfast/brunch is the best in tel Aviv!!
They have the most unique- French style food. The food itself is super photogenic and it tastes also very good. A really one of a kind cafe in tel Aviv. Their service is also good and their location is great as well(really in the central). If you are looking for a place to sit with friends/family/ work- then this is it!!
The only thing I would recommend is that you should order a place in advance because it could get very packed easily. Also I would recommend not coming on Friday mornings because it is the busiest time of the whole week. Other than that, I would extremely recommend!!","We had our Saturday morning breakfast at the bar of the restaurant. The staff was extremely hospitable and treated us to free shots which was fun and much appreciated. The ambiance and atmosphere at the restaurant was great and we had a good time, the food was good overall but relatively pricey for the amounts. Personally, did not like the croissant with Buche cheese.","We were hungry and the rating was nice, so hopes were high. Benedict was kinda ok but avocado toast somehow didn't have any taste at all. Tea and coffee were bad as well as matcha latte. The place itself is noisy. Staff is nice, but overall a huge disappointment and a ruined breakfast experience for us.","Cafe Cucu in Dizengoff Square, Tel Aviv, is a hidden gem! The coffee is excellent, boasting rich flavors that satisfy any coffee aficionado. The food is equally impressive, with a diverse menu featuring mouthwatering dishes to suit all tastes. From savory to sweet, they've got it all covered. But what truly stands out is their impeccable service - attentive, friendly, and always with a smile. The cozy ambiance adds to the overall experience, making it the perfect spot to relax and indulge in a delightful culinary journey. Highly recommended!","Stellar meal in Tel Aviv!

Each dish better than the last, and such good wine too!

The service was excellent too - and they gave us a complimentary dessert!

I especially loved the eggplant / cauliflower / tahini dish. And the sea bass entree was a close second. Or maybe it was the kale salad,.. tough to choose!"
CARREFOUR MARKET אוא,"קרפור מרקט - לה גוורדיה, תל אביב",supermarket,"Prices are ridiculously high and the service is awful.

Every single time I went there, the staff continuously left the cash registers with people waiting in line. And to make matters worse, the automatic cash registers are always turned off.

Save your time and your money and go elsewhere.",I have never come across such unfriendly unhelpfully uncompittent supermarket.I was disgusted the way they treat clients no respect.With my money I can shop wherever I want !!!!Suggest you close the whole place down and start a new.Where have you seen such service.Hope you take this to heart,"This very old, former Mega, supermarket is never going to come right and that's because of the extremely low level of its staffing, extremely bad management and absolutely low strategy to modernise it. It's been through 4 name changes, but is beyond help. They don't train staff, and you can always tell management attitudes by the attitudes of the staff. From the moment you walk in and then out again, it's pure horror, as is the dreadful layout, lack of cashiers, just 2 self-service tills and half the products weren't recognized, causing huge delays for assistance. Nothing was working on my last visit. No prices for half the foods, the customer ""service"" section is more like customer Contempt and deli sections are dead slow. You can rename these old ""Co-op/Mega"" stores 50 times but nothing will inject life into the lifeless lot that work there.",After reading some reviews here online I decided to check it out by myself and all I can say is that I came depressed outside. Cashiers were yelling at customers and we were not felt appreciated by the shop if you dont speak their language. A local helpful lady saw our depressed faces and offered us help at the selfscan so we could get out this shop asap. Waiting lines were terrible..,"Okay store with most stock you'd need for pretty much anything food and cleaning related, only one cashier and the bakery isn't that 'wow'. A lot of sales by the franchise that aren't mentioned anywhere in the store, yet are included in the final cheque."
DATACAMP.COM/~DATACAMP INC.,DataCamp,MISSING,It actually fits for me. I am their subscriber online. And used it for almost two months now. It’s on-demand learning. At your own pace.,"Customer service is very poor and payment information about renewing subscription is not clear. For example, never mentionned to keep my credit card information but they do keep it. Take more than a week to reply an e-mail. Oh, they don't even have a customer support phone number.","I found the content of the courses to be pretty good. When I signed up for the year subscription, I was told I would have access to all courses. Then I figured out the Tableau (and I'm sure other courses) are only available under a ""business class"" subscription. I asked to be given access through DataCamp's support through email and was thoroughly blown off. Definitely would rate higher if they had better customer service.

UPDATE 3/12/20: They actually took my suggestion and made the Tableau course available to individual subscriptions. I would have been happier if they had communicated better to me that they were considering adding it or looking into the issue in their initial response to me, but I am happy that the course I wanted is no longer locked behind an arbitrary paywall.",The worst company ever to con you- I cancelled my subscription- guess what they still got my money- I do not want your service- the subscription set up is misleading and does not have the functions that it describes on its FAQ,"what a poor learning experience is offered here, avoid their platform as much as you possibly can"
GETT,Gett,corporate_office,"Horrible and irresponsible company that allows drivers to overcharge the customers.
It’s the first time I travel to Israel and the place gave me terrible impression. I was charged for 286 and found out the real price is 160, the driver overcharged me crazily.
And this happened on my return ride to the airport, for a 15min ride, I was charged 180, and found out the real price is 90. I contacted Gett, yet I haven’t heard back from them, it’s been 3 weeks.
Every time I requested Gett to investigate and stop the fraud, they just ignored saying “the drivers are not our employees and we are not responsible..you do as you wish but we are responsible for the fraud”
This is so shameful. I will never want to travel there again, such a terrible place full of frauds!
Shareholders of Gett should fix this problem. Companies with broken value systems will never go any further.","Very bad experience during my last trip to Israel. The price to the airport from Tel Aviv is Nis 150, but Gett driver charged Nis 250. Huge mistake that I will avoid in the future..",Drivers take advantage of tourists and go a long way past the drop off and won’t stop and turn around until you catch them. Even then they come up with some excuse and still continue to over extend the ride to increase the fare. Gett customer support just creates more false excuses and supports the fraudulent driver activity. And the country kicked out Uber so unfortunately you are stuck with this taxi company unless you know how to navigate the buses and trains.,"Gett prepared ""nice"" surprise for ones whose credit card is expired. They charged 50 schekels for checking validity of the card. The customer service promised to return the amount during next 5-7 days. Waiting...","Absolutely horrible experience, will delete app immediately!! I took a taxi ride from raanana to kfar saba during the week and during the day, the counter said 50 when arriving (expensive but expected). I get off the taxi and receive a digital receipt of 80 SHEKELS!!!!!!! The driver tried to rip me off!!!! I contacted their “customer service” through the app and got an answer 3 hours later which was pretty shameful, telling me that there was nothing that could be done unless the driver admitted to this. I didn’t let go and kept on writing them non stop until the girl talking to me finally got a hold of the driver who insisted he mistakenly charged me 80 instead of 60 (wrong again!). I was eventually refunded but felt absolutely disgusted by the entire experience. Turns out gett drivers are often making these “mistakes”. Don’t use this app if you don’t want your money stolen from you. They have so much to learn from competitors."
