,business_name,response_text
0,אטליז גבעתיים,"{'displayName': 'אטליז ודגי גבעתיים - דגים טריים | בשר טרי | קצבייה', 'primaryType': 'food_store', 'biz_reviews': ['Buying fish and meat here for 5 years - always fresh and great quality!', ""Ordered ground meat, it was tasteless and hard. Not a very good quality. I get better ground meat at Shufersal.. I won't say anything about prices or the rest of the meats."", 'The service is bad. the cuts of meat usually have ragged edges and uneven sections. Very pricey considering the low value.', 'One of the best places to get meat.\nGreat service and product quality 👌', 'the finest butchery in ramat gan, with all the special cuts you can think of. Not cheap.'], 'business_name': 'אטליז גבעתיים'}"
1,טיב טעם רשתות סירקין,"{'displayName': 'Tiv Taam', 'primaryType': 'supermarket', 'biz_reviews': ['The branch has just reopened after renovation.\nIt has given a brand-new look to the previously shabby appearing place, which now finally adds good value to the shopping experience. Everything appears tidy and sorted. If the prices of so many products would become more attractive for the customers too, would round off the customer experience. About service, there expectations should better be lowered from the start, as it still behaves more a self-service model store, except the deli-counters. The fact that it is open every single day, makes this liitle supermarket absolutely convenient', ""A haven in the city, to get some good non kosher stuff like sausages, ham, sea food etc. They have an interesting beer selection as well. Too bad it's expensive and the staff could be nicer but what can you do. The location is great but there is no parking around."", ""Good store with wide choice of products. Mostly food including a wife range of non-kosher items. Most of staff speaks Russian as in other branches. Most visit if you don't stick to Israeli diet."", 'Open 24/7, high prices for pretty much everything. Good selection of cold cuts and cheese at the deli, and one of the only places where you can get bacon and shrimps in Givatayim. Staff is always polite but usually slow.', ""Open 7 days a week, and has items you won't find in a normal supermarket. Also a good collection of alcohol.\nOnly downsides are that it doesn't sell in bulk and that a few odd things are missing.\n\nI like this place and shop here often.""], 'business_name': 'טיב טעם רשתות סירקין'}"
2,SWING,"{'displayName': 'SWING Bar', 'primaryType': 'bar', 'biz_reviews': ['Overall, a bar of average quality and appearance, with a neat style and friendly staff. The main emphasis is on alcohol and cocktails, but there is also something to eat here too. There is not much really ""dense food"" here, but you can find meat salad, Caesar salad and a couple of other such dishes. The variety of general alcohol is good, but it\'s average ""safe mainstream"". Cocktails are another matter and they are good here. My wife and I have tried 4 different ones and all are well done and tasty(Sidecar, Sleeping Lotus, Staycation, Teqi la banana).\nPrices are normal, the bar website has a menu with them.\nSince the bar is right in the center it\'s a good option to sit in the evening, have a cocktail and move on further.', 'Nice new local place. Good choice of cocktails and delicious food. Stuff is friendly. May recommend.', 'Great cooktails!\nIf you like spicy ones, try ""spice it up""\nI came back just to order it again 🤩', ""We ordered beef buns, but they were out of stock so we got a smash burger and fries. They took 25 minutes to prepare our meals, even though it was a week night and the venue was at around 30% occupancy.\n\nFor some reason it seems that 80% of the venue is a smoking area. There were people smoking inside! If I had more free time, I'd report them to the city for that. Almost every table has an ashtray on it. We had to move to a different seating area to avoid the cigarette smoke.\n\nThe french fries were too thin to my liking. You couldn't really taste the potato, it just tasted like oil. The burger was okay, not great.\n\nThe waiter tried to recruit us to a political cause that he believes in. While I don't disagree with his cause, I didn't really feel it was his place to push his political beliefs.\n\nWe won't be coming back."", 'Great place for working over beer/coffee and some snack.\nNice atmosphere and the waiters are very kind!'], 'business_name': 'SWING'}"
3,אי.אם.פי.אם גבעתיים,"{'displayName': 'AM:PM', 'primaryType': 'grocery_store', 'biz_reviews': [""It's a great store... But unlike its name suggests, it is only open until 10pm and not 24/7..."", 'Philip at checkout was so helpful. He packed my bags for me!! That was certainly a first in an AMPM. He was friendly,  chatty, and gave service with a smile. Being new to the neighbourhood and this my local AMPM, u really got a great sense of community.  What a guy! AMPM needs more staff like him! 👍', 'Outrageous, over 10 people in line a casher turns his back on us leaving another cashier along. Moreover, either cashier is reluctant to disclose each other’s name, yet, the one who is left keeps defending another- what t..f.', ""If you are short of anything in your kitchen and it's shabbat. You can get whatever you want at Am:Pm. It's open on Fridays and Saturdays too. # Never stop the fun!!"", 'Nice and clean convince store. You can find there almost everything you need at any hour of the week. The prices are about 20% higher than the supermarket.'], 'business_name': 'אי.אם.פי.אם גבעתיים'}"
4,סופר פארם בורכוב גבע,"{'displayName': 'סופר-פארם בורוכוב גבעתיים', 'primaryType': 'pharmacy', 'biz_reviews': ['Pharmacy in here, very bad, barely move. I started thinking they making those in here', 'Poor service', ""I must positively mention an employee named Anna, unfortunately I did not catch her last name. Outstanding service and humanity that I haven't seen in a long time, how obvious it is. Branch managers, I hope you appreciate it."", 'I would like to mention the lovely employee Sharon, who always gives good advice and tries to help in every way she can. Beit Bamarkat and especially the pharmacist Harardo, unbearable. Unreasonable waiting time, unprofessionalism and incomprehensible aggressiveness. The branch manager is not interested in what he is doing and the customer service of the Super Pharm, Mechvas Mil.', ""Terrible branch.\nEvery time my friends and I (we are girls) go in and get frustrated about makeup and things, a saleswoman immediately pins us and the saleswoman looks and doesn't let go, we immediately feel uncomfortable at all and we want to get out of there and not buy anything.\nThe sellers there need to understand that just because we're girls doesn't mean we'll mess up the whole store.""], 'business_name': 'סופר פארם בורכוב גבע'}"
5,"עיריית ר""ג-אינטרנט","{'displayName': 'Ramat Gan City Hall', 'primaryType': 'city_hall', 'biz_reviews': ['Please, return green bike stations (Tel-O-Fun)! They were most cheap and comfortable!', 'Surprisingly I never had to wait a long time and they were even nice and treated me respectfully.', 'The one who attended with me shes so nice.', 'I received good customer service here!', 'Awful service, nobody to speak with, and while you wait for a representative it hangs up on you time after time'], 'business_name': 'עיריית ר""ג-אינטרנט'}"
6,YANGO DELI,"{'displayName': 'MISSING', 'primaryType': 'MISSING', 'biz_reviews': [], 'business_name': 'YANGO DELI'}"
7,סופר פלוס,"{'displayName': 'סופר זול יותר', 'primaryType': 'grocery_store', 'biz_reviews': ['MISSING_REVIEW'], 'business_name': 'סופר פלוס'}"
8,"PM:AM ארלוזורוב ר""ג","{'displayName': 'AM PM', 'primaryType': 'grocery_store', 'biz_reviews': [""The only AM OM store that I won't recommend to buy something at night!\nI bought bamba, burekas and a coca cola...than suddenly my bill was 80NIS... I've already paid... Than I talked to the cashier...and he said there's a TAKALA with the system 👀..\n\nI look at the bill and there was Arak/alcohol...and for sure I didn't purchase Arak..\nHe tried to refound my CC but with no success, than gave me difference in money...\nIt's was a real not cool way to try to take a client for a fool...\n\nSo AM PM Arlozorov... I'll never be back... - client..."", ""It's OK.\nVegetables are only mediocre.\nThe staff is pretty nice though :)"", 'A bit pricey but convenient location, good selection of products, nice service and aesthetics', 'Why the new and big am pm has less products than and old smaller one?', 'Store and seevice are ok\nParking is tarrible'], 'business_name': 'PM:AM ארלוזורוב ר""ג'}"
9,מקס 10,"{'displayName': 'Max 10', 'primaryType': 'store', 'biz_reviews': [""Impatient & Horrible service by bald guy  there make you a favor….\nI'd rather buy somewhere else with better service and pay a little more.\n👎👎👎"", 'Neatly arranged, easy to navigate, surprisingly varied for its size.\nEvery item has a price tag, shelves are full of cheap, useful and fun products.\nThe people were very helpful, the line for the cashier was short and fast.\nThank you :)', 'Great stores!!!  Cheap, ordinary and unique items (mostly poor quality even though could be good if you choose wisely). Lots of choices for parties and practical things (garbage cans to small shelving and house cleaning) and decor. They also carry every type of beauty products (soaps, shampoos, toothpastes, etc.) Your traditional North American Dollar Store.\n\nStaff has, for the most part, been friendly, knowledgeable and helpful. Is  it only that I was lucky the few times I went?', 'Great replacement for a ""dollar store""  my only complaint is that the shipments can be sporadic and if you miss an item they may not get it again at all ..or for a year.  Example mr16 led bulbs.  Bought 2.  Worked well.  Went back and they were sold out and I\'ve been waiting for 3 months and they still haven\'t got them back.  Another example is black clips/clamps.', 'Super nice store with variety of items from kitchen, decor, crafts, baking etc. at super low prices. Love going to this shop and there are lots of these shops in Israel and not one of them sell exactly the same items.❤'], 'business_name': 'מקס 10'}"
