business_type,business_name,business_utility,super_name
אחר,"19, RUE DE BI~ALIEXPRESS.COM",אחר,אחר
חשבונות,408-724-9160 ~NETFLIX.COM,טלויזיה,אחר
סופר,77 TO סופרמרקט,אחר,סופר אחר
חשבונות,AMSTERDAM    ~NETFLIX.COM,טלויזיה,אחר
אחר,BITהעברה ב,אחר,אחר
בילוי,CAFE MAYER,אחר,אחר
בילוי,CAFFE CUCU,אחר,אחר
סופר,CARREFOUR MARKET אוא,אחר,סופר אחר
אחר,DATACAMP.COM/~DATACAMP INC.,אחר,אחר
חשבונות,DISNEY PLUS,טלויזיה,אחר
בילוי,eatmeat,אחר,אחר
מוניות,GETT,אחר,אחר
אחר,HATUKA BARBRSHOP,אחר,אחר
פארם,IHERB.COM    ~IHERB IHERB.COM,אחר,אחר
בילוי,KALAMATA,אחר,אחר
אחר,KLASSA( תכשיטי דניאל,אחר,אחר
חשבונות,LEICESTER    ~NEXT ONLINE,טלויזיה,אחר
חשבונות,LONDON       ~DISNEY PLUS,טלויזיה,אחר
חשבונות,LOS GATOS    ~NETFLIX.COM,טלויזיה,אחר
חשבונות,LUXEMBOURG   ~ALIEXPRESS,טלויזיה,אחר
חשבונות,NETFLIX.COM,טלויזיה,אחר
אחר,PAYBOX,אחר,אחר
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
חשבונות,STOCKHOLM    ~SPOTIFYIL,ספוטיפיי,אחר
בילוי,SWING,אחר,אחר
אחר,TOMMY ANNIKA,אחר,אחר
בילוי,TOM'S,אחר,אחר
אחר,TOP STOCK,אחר,אחר
אחר,WOLT,אחר,אחר
אחר,YANGO DELI,אחר,אחר
בילוי,א.מ חומוס רמת גן,אחר,אחר
אחר,אבא ובן,אחר,אחר
סופר,אטליז גבעתיים,אחר,קצבדגים
סופר,אטליז פרימדונה,אחר,קצבדגים
סופר,אי אם פי אם סניף החש,אחר,אמפמ
סופר,אי.אם.פי.אם גבעתיים,אחר,אמפמ
בילוי,אייס קפה,אחר,אחר
אחר,אייס/ אוטודיפו- אונל,אחר,אחר
אחר,אינטימה אתר-גמא,אחר,אחר
אחר,אלו מציאות,אחר,אחר
סופר,אלמה מרקט רמת גן,אחר,סופר אחר
אחר,אלנבי פוד,אחר,אחר
אחר,אלקטרה חנויות נוחות,אחר,אחר
בילוי,באוליג רמת גן/ ראשלצ,אחר,אחר
אחר,בוטיק  סנטרל גבעתיים,אחר,אחר
פארם,בי דראגסטורס בלוך גב,אחר,אחר
פארם,בי פרש קניון גבעתיים,אחר,אחר
סופר,בית לחם,אחר,מאפייה
בילוי,בית קפה ארלוזורוב בע,אחר,אחר
