business_type,business_name,business_utility,super_name
אחר,מ.תחבורה ? רב-פס,אחר,אחר
אחר,פט בסט,אחר,אחר
אחר,HATUKA BARBRSHOP,אחר,אחר
אחר,מ.תחבורה ? רב-פס,אחר,אחר
אחר,גוארדה בע''מ,אחר,אחר
אחר,המקום הראשון בבורסה,אחר,אחר
אחר,"ש. ברלינר בע""מ",אחר,אחר
אחר,בוטיק  סנטרל גבעתיים,אחר,אחר
אחר,HATUKA BARBRSHOP,אחר,אחר
אחר,מקרו זול הזול,אחר,אחר
אחר,אלו מציאות,אחר,אחר
אחר,פיצוי ייצוגית רשף,אחר,אחר
אחר,PAYBOX,אחר,אחר
אחר,דלתא בני ברק עודפים-,אחר,אחר
אחר,פנדה,אחר,אחר
אחר,הסטוק ב.ס.ר פתח תקוו,אחר,אחר
אחר,הקערה-חנות פרחים,אחר,אחר
אחר,WOLT,אחר,אחר
אחר,WOLT,אחר,אחר
אחר,YANGO DELI,אחר,אחר
אחר,אלנבי פוד,אחר,אחר
אחר,נעשה ונצליח,אחר,אחר
אחר,עלי דפנה,אחר,אחר
אחר,פוד אפיל רמת גן,אחר,אחר
אחר,TOP STOCK,אחר,אחר
אחר,"מקס 20 אלנבי ת""א",אחר,אחר
אחר,פוקס הום גבעתיים,אחר,אחר
אחר,"הכל לתעשיה בע""מ-מימו",אחר,אחר
אחר,מבאלי,אחר,אחר
אחר,"הודיס בע""מ-גמא",אחר,אחר
אחר,יונתן טל בעמ,אחר,אחר
אחר,חשמל ר מ ז,אחר,אחר
אחר,צ'ובו-צמרת,אחר,אחר
אחר,ראלי וויס-מפעל הפיס,אחר,אחר
אחר,הסטוק ב.ס.ר פתח תקוו,אחר,אחר
אחר,מיני משתלה,אחר,אחר
אחר,ספייסז גבעתיים-צמרת,אחר,אחר
אחר,אבא ובן,אחר,אחר
אחר,מיני משתלה,אחר,אחר
אחר,טכנו ויליאם,אחר,אחר
אחר,מיני משתלה,אחר,אחר
אחר,KLASSA( תכשיטי דניאל,אחר,אחר
אחר,אלקטרה חנויות נוחות,אחר,אחר
אחר,מקס 10,אחר,אחר
אחר,הגרעין,אחר,אחר
אחר,"הכל לתעשיה בע""מ-מימו",אחר,אחר
אחר,משתלת שתילים שחר בעמ,אחר,אחר
אחר,דב זייף צבעים לבניין,אחר,אחר
אחר,נטו סטוק,אחר,אחר
אחר,דליה פרחים,אחר,אחר
אחר,קרייזי ליין-ק.גבעתיי,אחר,אחר
אחר,BITהעברה ב,אחר,אחר
אחר,"19, RUE DE BI~ALIEXPRESS.COM",אחר,אחר
אחר,DATACAMP.COM/~DATACAMP INC.,אחר,אחר
בילוי,SWING,אחר,אחר
בילוי,החומוסיה של דני,אחר,אחר
בילוי,TOM'S,אחר,אחר
בילוי,טוני ווספה גבעתיים,אחר,אחר
בילוי,סיגנצ'ר,אחר,אחר
בילוי,באוליג רמת גן/ ראשלצ,אחר,אחר
בילוי,באוליג רמת גן/ ראשלצ,אחר,אחר
בילוי,באוליג רמת גן/ ראשלצ,אחר,אחר
בילוי,צ'אצוס קפה,אחר,אחר
בילוי,נונה,אחר,אחר
בילוי,"עברי בפארק בע""מ",אחר,אחר
בילוי,"עברי בפארק בע""מ",אחר,אחר
בילוי,"עברי בפארק בע""מ",אחר,אחר
בילוי,פארק אריאל שרון,אחר,אחר
בילוי,החומוסיה של דני,אחר,אחר
בילוי,eatmeat,אחר,אחר
בילוי,בנדיקט פארק הירקון,אחר,אחר
בילוי,עלי קראוון,אחר,אחר
בילוי,קפה עלמה,אחר,אחר
בילוי,חצר גולדמן,אחר,אחר
בילוי,א.מ חומוס רמת גן,אחר,אחר
בילוי,סוהו,אחר,אחר
בילוי,אייס קפה,אחר,אחר
בילוי,טוני ווספה,אחר,אחר
בילוי,החומוסיה של דני,אחר,אחר
בילוי,TOM'S,אחר,אחר
בילוי,בית קפה ארלוזורוב בע,אחר,אחר
בילוי,החומוסיה של דני,אחר,אחר
בילוי,TOM'S,אחר,אחר
בילוי,נונה,אחר,אחר
בילוי,מזנון אבן גבירול,אחר,אחר
בילוי,CAFE MAYER,אחר,אחר
בילוי,בר קפה ירח,אחר,אחר
בילוי,פלורנטינה,אחר,אחר
בילוי,פלורנטינה,אחר,אחר
בילוי,גנה,אחר,אחר
בילוי,גנה,אחר,אחר
בילוי,גורמה-סבזי,אחר,אחר
בילוי,גולדה לוינסקי,אחר,אחר
בילוי,גולדה גן יבנה,אחר,אחר
בילוי,תמרה יוגורט,אחר,אחר
בילוי,פיצה יואב פלורנטין,אחר,אחר
בילוי,לבובסקי,אחר,אחר
בילוי,CAFFE CUCU,אחר,אחר
בילוי,ניסו,אחר,אחר
בילוי,ניסו,אחר,אחר
בילוי,"ע.נ.מ. מסעדות בע""מ -",אחר,אחר
בילוי,קומי (משרד כרטיסים),אחר,אחר
בילוי,לאטי משה ובניו,אחר,אחר
בילוי,קפה הרואה,אחר,אחר
בילוי,התאומים בשוק,אחר,אחר
בילוי,עלי קרוואן,אחר,אחר
בילוי,מחלבת מרקוביץ',אחר,אחר
בילוי,הכוסית-ורמוטריה מקומ,אחר,אחר
בילוי,קומי (משרד כרטיסים),אחר,אחר
אחר,WOLT,אחר,אחר
בילוי,פסגות הקרח- פארק פרס,אחר,אחר
בילוי,סינמטק תל אביב,אחר,אחר
בילוי,ויויאן לוינסקי,אחר,אחר
חשבונות,חברת פרטנר תקשורת בע,אינטרנט,אחר
חשבונות,"עיריית ר""ג-אינטרנט",ארנונה,אחר
חשבונות,"עיריית ר""ג-אינטרנט",ארנונה,אחר
חשבונות,"עיריית ר""ג-אינטרנט",ארנונה,אחר
חשבונות,"עיריית ר""ג-אינטרנט",ארנונה,אחר
חשבונות,"עיריית ר""ג-אינטרנט",ארנונה,אחר
חשבונות,"עיריית ר""ג-אינטרנט",ארנונה,אחר
חשבונות,כלל ב.בריאות ה.ק,ביטוח,אחר
חשבונות,סופרגז רמת גן גבעתיי,גז,אחר
חשבונות,המתמיד 10 רמת גן,ועד,אחר
חשבונות,המתמיד 10 רמת גן,ועד,אחר
חשבונות,המתמיד 10 רמת גן,ועד,אחר
חשבונות,חב' חשמל דן חשבונות,חשמל,אחר
חשבונות,חשמל בהוראת קבע דן,חשמל,אחר
חשבונות,חברת חשמל לישראל,חשמל,אחר
חשבונות,AMSTERDAM    ~NETFLIX.COM,טלויזיה,אחר
חשבונות,LONDON       ~DISNEY PLUS,טלויזיה,אחר
חשבונות,408-724-9160 ~NETFLIX.COM,טלויזיה,אחר
חשבונות,LOS GATOS    ~NETFLIX.COM,טלויזיה,אחר
חשבונות,LEICESTER    ~NEXT ONLINE,טלויזיה,אחר
